team,date,time,home-away,type,event,site,subsite,result,score,canceled
girls-volleyball-middle-school-blue,2023-10-05,4:00 PM,A,Match,Chapman Middle School (Weymouth) 2,Chapman Middle School (Weymouth),Gym,,,
girls-soccer-varsity,2023-10-05,4:30 PM,A,League,Newton North High School,Newton North High School,Lowell Ave Field,W,1-0,
girls-soccer-junior-varsity,2023-10-05,4:30 PM,A,League,Newton North High School,Cold Spring Park,,,,
girls-volleyball-varsity,2023-10-05,4:30 PM,A,League,Newton North High School,Newton North High School,Reggie Gym,L,2-3,
boys-soccer-varsity,2023-10-05,4:30 PM,H,League,Newton North High School,DeFazio Complex,Turf #2 Brock,W,2-1,
coed-field-hockey-junior-varsity,2023-10-05,5:15 PM,H,League,Brookline High School,DeFazio Complex,Turf #1 Founders,,,
girls-volleyball-freshman,2023-10-05,6:00 PM,A,League,Newton North High School,Newton North High School,Reggie Gym,,,
girls-volleyball-junior-varsity,2023-10-05,6:00 PM,A,League,Newton North High School,Newton North High School,Gym #1,,,
coed-field-hockey-freshman,2023-10-06,4:00 PM,H,League,Brookline High School,DeFazio Complex,Turf #1 Founders,,,
coed-football-freshman,2023-10-06,4:00 PM,H,League,Milton High School,Memorial Park,High School Turf,,,
coed-football-varsity,2023-10-06,7:00 PM,A,League,Milton High School,Milton High School,Brooks Field Turf,L,9-10,
girls-soccer-junior-varsity,2023-10-07,4:00 PM,H,Non-League,Acton-Boxborough Regional High School,Memorial Park,High School Turf,,,
boys-cross-country-varsity,2023-10-07,2:00 PM,A,Meet,Battle of the Border Invite,Alvirne High School,,,,
girls-cross-country-varsity,2023-10-07,2:00 PM,A,Meet,Battle of the Border Invite,Alvirne High School,,,,
girls-soccer-varsity,2023-10-07,6:00 PM,H,Non-League,Acton-Boxborough Regional High School,Memorial Park,High School Turf,W,1-0,
coed-football-junior-varsity,2023-10-09,10:00 AM,H,League,Milton High School,Memorial Park,High School Turf,,,
girls-volleyball-varsity,2023-10-09,10:00 AM,A,Event,VolleyHall Tournament,American International College,Butova Gymnasium,,,
